id	lat	lng	city	address_	province	suburb	street	postcode
801	24.77576	46.62762	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Salila	13519
802	24.77576	46.62762	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Salila	13519
812	24.79396	46.61969	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Hareeq Street	13524
813	24.79396	46.61969	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Hareeq Street	13524
814	24.79396	46.61969	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Hareeq Street	13524
815	24.79396	46.61969	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Hareeq Street	13524
821	24.79074479	46.61598768	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	Al Bateha Valley Street	13521
822	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
823	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
824	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
825	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
826	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
827	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
828	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
829	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
830	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
831	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
832	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
833	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
834	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
835	24.79875	46.67406	Riyadh Region	Al Rabiea District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Rabiea District	Al-Frousia Street	13316
839	24.77528	46.63008	Riyadh Region	Al Aqeeq District, Riyadh governorate, Riyadh Region, Saudi Arabia	Riyadh governorate	Al Aqeeq District	Al Sahel Valley	13519
840	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
841	24.81601891	46.58964022	Riyadh Region	Al Malga District, Ad Diriyah, Riyadh Region, Saudi Arabia	Ad Diriyah	Al Malga District	King Salman Branch Road	13522
